Scenario,Risk_Level,Cause_of_Accident,Keywords
"At 3:00 p.m. on April 7, 2022, an employee was installing roof decking on a residential home. As the employee stepped on the edge of the fascia board, it gave way and the employee fell to the concrete below. The employee sustained multiple blunt force injuries and was transported to the hospital, where he died two days later.",High,Falls,"blunt force trauma, concrete slab, construction, deck, fall from elevation"
"At 8:30 a.m. on February 8, 2022, an employee was installing waterproof paper on a roof when he slipped and fell to the frozen ground below. The employee incurred severe head trauma trauma to his upper torso and died.",High,Falls,"blunt force, blunt force trauma, construction, defect, defective"
"At 1:30 p.m. on December 28, 2020, Employees #1 and #2, day laborers employed by a painting and masonry contractor, were repairing a retaining wall at a job site. They were working on the base of the retaining wall in preparation for a concrete pour. The two employees had not been trained by the owner of the company on the hazards of working on a retaining wall, and the owner did not have knowledge or experience with retaining walls or excavations. Employees #1 and #2 were using a Bosch Electric Grinder (SN 021024766) and a Bosch Electric Drill Hammer 8"" pick to dig and clear needed space for a new footing support on the left side of the wall. No support system was used to protect the employees during the excavation process, and no underpinning plan was used. Both the left and right sides of the wall had been undermined by run off rainfall and/or snowfall for several months including days prior to the incident. The retaining wall suddenly collapsed on the two employees. Employee #1 sustained blunt force crushing injuries and was killed. Employee #2 was hospitalized with critical injuries.",High,Caught In Between,"blunt force trauma, construction, crushed, excavation, grinder"
"At 5:00 p.m. on November 16, 2021, Employee #1 was operating an excavator to perform site clearing and excavation work. Employee #1 was operating the excavator to remove a tree when the tree fell into the cab, striking and killing the employee.",High,Caught In Between,"chest, construction, ditch, equipment operator, excavation"
"At 4:22 p.m. on April 21, 2022, an employee was working for a contractor hired to install siding at a home. While working from the roof of the residence, he fell onto the driveway and was killed. Fire Department Medics reported that the employee was found unresponsive on the ground next to a ladder.",High,Falls,"carpenter, construction, fall, fall from elevation, fall protection"
"At 3:00 p.m. on November 13, 2021, an employee (Contractor) was installing house wrap with a pneumatic stapler over exterior sheathing on the first floor of a pre-fabricated house. The employee was found caught between the rails of the scissor lift and the house wall. The employee had been crushed and asphyxiated, which killed him.",High,Caught In Between,"abdomen, asphyxiated, back, building, caught between"
"At 6:30 a.m. on February 24, 2022, an employee was working as a driver for a construction firm that built highways. bridges, and structures. He drove heavy trucks. While inspecting a tri-axle dump truck before leaving the yard, he discovered two lights not working on the rear left of the dump bed. One was at a lower position, and the other was approximately 9 feet (2.7 meters) from the ground. He pulled the truck inside the shop and raised the dump bed slightly to lower the light to 8 feet (2.4 meters) from the floor. Another truck driver came to assist the employee with the lower light, while the employee started to work on the upper light. The other truck driver left to get cutters to cut a zip tie on the lower light. He had tried needle-nose pliers but could not cut the zip tie with them. When he returned, he found the employee on the floor bleeding from his head. The employee had fallen and struck the rear of his head on a concrete surface. He suffered a skull fracture. He was hospitalized, but he died from his injuries. It was thought that the employee was on the folding ladder trying to break the zip tie with the needle-nose pliers. When the zip tie was broken, the force of the break caused him to fall backward from the ladder to the floor. The electrical tie was found broken or cut but still wrapped around the original bad light. An erect standing Werner 6-foot (1.8-meter) single-sided folding stepladder was near the back left side of the truck. A pair of needle-nose pliers was on the floor. The zip tie that was still on the light had been cut. The work floor was in good condition. No workers observed the employee on the folding ladder. It was a common practice for operators to replace the lights and use the folding ladder to reach the upper light. The operator would stand on the second rung of the ladder at a height of 2 feet (0.6 meters) to complete this work. Workers interviewed stated that they did not have any issues when they used the folding ladder.",High,Electrocution,"climbing on ladder, construction, construction vehicle, driver, dump truck"
"On March 1, 2022, an employee who had been installing mesh on the ceiling of a second floor loft fell through an unprotected hole and was killed. The employee fell approximately 10 feet to the concrete floor below and died on March 7, 2022. The employee had been hospitalized for a fractured left cheek bone, left ribs, and left scapula. The Medical Examiner reported that the employee died due to a pulmonary embolism caused by deep venous thrombosis which was related to both the fall and a COVID-19 infection. Both the fall and the infection are associated with an increased risk of venous thrombosis. There was no evidence of COVID-19 related lung injury.",High,Falls,"blood clot, blunt force, blunt force trauma, chest, concrete floor"
"At 2:45 p.m. on December 22, 2020, Employee #1 and a coworker, employed by a roofing contractor, were assigned to evaluate the condition of a commercial building's roof and make simple repairs, as needed, in preparation for the building's sale. They were on the roof when Employee #1 stepped onto a skylight that was flush with the roof deck. The skylight failed to support Employee #1 and collapsed, sending Employee #1 falling to the concrete surface, a fall height of 21 feet. Emergency services transported Employee #1 to the hospital, where he was admitted for treatment of blunt force traumatic head and chest injuries. Employee #1 died at the hospital on January 10, 2021.",High,Falls,"blunt force trauma, chest, construction, fall, fall protection"
"At 3:00 p.m. on April 6, 2022, an employee and three coworkers on scaffolding, removing work forms from the wall of a stairwell on the first floor. The employee fell approximately 17 feet from the first floor to the cellar, injuring his head and torso on the concrete floor. The employee was killed due to multiple blunt force injuries.",High,Transportation Incidents,"blunt force trauma, concrete floor, construction, fall, fall from elevation"
"At 8:20 a.m. on October 24, 2022, an employee was positioning outrigger pads for boom and hoisting apparatus heavy equipment at a construction site. The employee was killed when the 1250 lb blocks fell from the end of the boom and struck him in the head.",High,Struck By Object,"boom, construction, crane outrigger, falling object, fracture"
"At 8:30 a.m. on June 22, 2022, an employee was working from a 12-foot A-frame ladder taking measurments for stair stringers. The employee fell from the ladder and struck the concrete floor below. The employee incurred blunt force trauma to the left side of his head and his left hip. The employee lost consciousness and never regained consciousness. On July 1, 2022, the employee died.",High,Falls,"blunt force, blunt force trauma, concrete floor, concussion, construction"
"At 11:14 a.m. on January 12, 2023, an employee, a laborer, was constructing a masonry wall around the eastside basement stairwell area when the east wall of the building collapsed, trapping him under the debris. The fire department arrived onsite to conduct rescue operations and transported the employee to the hospital, where he was pronounced dead due to blunt force trauma injuries to his whole body.",High,Struck By Object,"basement, blunt force, blunt force trauma, building collapse, collapse"
"At 11:45 a.m. on February 4, 2023, an employee was working on putting up walls on a concrete slab. The employee walked over to the concrete slab. A coworker was working on constructing a retaining wall with steel piles, using an excavator with a pile driving attachment, and had lifted up one of these steel piles about 2-3 feet off the ground. The pile somehow fell off of the pile driver and landed on the dirt below, then fell forward. The pile fell forward and struck the employee in the back, and pinned them to the ground. The employee was struck in the back, but received injuries to the head and chest as well. The employee died as a result of these injuries.",High,Struck By Object,"back, broken bone, chest, concrete, concrete slab"
"At 5:30 p.m. on March 8, 2023, an employee working as a construction laborer was putting on ridge caps and installing end eaves. The employee fell from the roof approximately 19 feet to the ground below. The employee struck the concrete and died.",High,Falls,"blunt force, blunt force trauma, concrete, construction, fall"
"At 2:00 p.m. on August 30, 2022, an employee who worked as an iron worker was grouting joints at a manfacturing plant construction site. The employee was in the process of completing caulking tasks related to the setting of precast concrete pieces. The employee and his coworkers, also iron workers, had set four concrete roof slabs when the employee noticed the beam that the slabs were setting on started to roll. The employee got back into the JLG just as another coworker (the Foreman) told everyone to get out of the room. About that time, the four columns supporting an interior wall and the adjacent four roof slabs collapsed. The employee was on the east side grouting when the structure collapsed and was crushed and killed.",High,Caught In Between,"aerial lift, building, building collapse, commercial building, construction"
"At 9:00 a.m. on March 7, 2023, an employee working as a Roofer Helper for a building contractor was working on the roof of a commercial building without fall protection. The employee was walking when he kicked out an unsecured roof panel causing him to fall. He sustained head trauma in the 36-foot fall to the concrete surface, killing him.",High,Falls,"commercial building, concrete, concussion, construction, decking panel"
"At 4:56 p.m. on June 28, 2022, an employee was working as a member of a crew that was setting up trusses when a truss was put down by the crane operator. The employee and his crew undid the truss and secured one side of it. The employee moved to the middle of the truss to secure it when the truss gave way and he fell to the ground.",High,Transportation Incidents,"blunt force, blunt force trauma, collapse, construction, crane"
"At 8:27 p.m. on July 9, 2022, an employer and a coworker were removing trash from a two-story home under construction. They were hand carrying bags of trash from the job site into the rear of truck using a wooden ramp. The employee fell approximately 3-4 feet from the truck ramp. The employee went to the hospital and later died during surgery.",High,Transportation Incidents,"construction, demolition, fall from elevation, loading ramp, material handling"
"On June 22, 2022, an employee, who worked for a roofing contractor, was coming down from a roof. The empoyee was on the walk-board of a ladder jack scaffold about 5 feet off of the deck. The employer believes he may have been transitioning from the walk-board to the ladder when he fell. The employee struck the deck railing and then fell an additional 22 feet from the railing to the ground. The employee was transported to the hospital, where he was pronounced dead later that afternoon.",High,Falls,"blunt force, blunt force trauma, climbing, construction, deck"
"At 10:00 a.m. on October 5, 2022, an employee was working with coworkers conducting site clearing work. The employee was assigned to pull roots off a nearby building pad and remove silt fencing from the northside of the site near the tree removal operation. A coworker was assigned to operate a Hitachi ZAXIS 300LC excavator to fell trees from the northside of the site. One tree the coworker had felled was an approximately 81-foot-tall tree. During the removal operations, the coworker checked his surroundings, dug around the tree, and pulled the tree out of the ground using the excavator bucket with welded thumb attachment. The coworker yarded the tree to the landing near the GC trailer towards the exit of the jobsite using the same excavator. On the way back to the tree removal operation, the coworker noticed the employee next to a 6- foot dirt pile approximately 15 feet away from him. Before felling the next tree out of the ground, the coworker conducted the normal routine check to make sure no person was in the area. The equipment operator went to fell the tree out of the ground. With the tree already in motion, the coworker saw the employee standing in the area the tree was free falling. The employee was standing near two dirt piles, approximately 6-foot high on the side of the excavator operator. After noticing the employee so close to the tree removal operation, the coworker attempted to stop the excavator bucket and reverse the motion away from the employee. Since the tree was so large and the employee was so close, the tree struck the employee in the head causing blunt force trauma and he died. The employee was transported to a medical center for treatment but died later that day.",High,Struck By Object,"blunt force, blunt force trauma, clearance, construction, construction vehicle"
"On June 20, 2022, an employee and a coworker were unloading 30-foot utility poles from a utility trailer. One of the poles fell and struck the employee in the chest and head pinning him to the ground. The employee died at the scene from blunt force trauma and skull fractures.",High,Struck By Object,"blunt force, blunt force trauma, chest, construction, falling object"
"On June 19, 2022, an employee was working on a construction crew for a new single family home. The employee was sanding something not specified in the narrative when she fell from either a ladder or a scaffold. The employee struck some equipment on the way down before landing in the basement. The employee broke her neck and was pronounced dead by Emergency Medical Services at the scene.",High,Falls,"blunt force, blunt force trauma, broken bone, concrete floor, construction"
"At 12:07 p.m. on December 6, 2022, an employee was working as a tradesman for a construction company and was engaged in demolition and removal of an old roof. The employee and three coworkers were clearing the floors of debris from the prior day and waiting for the roof to dry before starting work on the roof. The employees went to work on the roof for a short period of time prior to lunch and then ate lunch together. The employee was the first one to go up to the roof after lunch and then the coworkers joined him on the roof. As the coworkers were getting ready to work, they heard a scream and then the employee disappeared from the roof. The coworkers looked thorough the opening on the roof and saw the employee on the ground below. The coworkers descended the access ladder and saw the employee in a pool of blood and called emergency services and their supervisor. The fall distance was approximately 18 feet. The employer provided and required employees to wear harnesses attached to a safety line. The employee was not wearing a harness at the time of the incident. The employee died from his injuries.",High,Falls,"blunt force, blunt force trauma, construction, demolition, fall"
"On July 17, 2023, an employee working for an industrial contractor in a commercial building was clearing the path for a scissor lift that was being used to help unload a crate of butterfly valves. While clearing the path, the employee had removed an unsecured 15/16-inch-thick plywood hole covering from the second-floor mezzanine of the building. While removing the plywood, the employee fell through the hole approximately 14 feet onto the concrete floor below. The employee was hospitalized to treat serious injuries to his spine and head, including a brain injury. He was pronounced dead the following day after withdrawal of life support.",High,Struck By Object,"brain, commercial building, construction, cover, fall"
"At 8:00 a.m. on May 8, 2023, an employee was working for a plumbing, heating and air conditioning contractor on a construction project. The employee was lowering a bucket to the lower level of a structure in order to stage materials for the job. The employee fell approximately thirty feet to the lower level through a floor opening. The employee died from blunt force trauma to his head after impact with the concrete slab.",High,Falls,"blunt force, blunt force trauma, bucket, construction, fall"
"At 10:00 a.m. on December 9, 2022, an employee and a coworker were in the basement removing two-by-four pieces of lumber that were secured to the concrete floor. Other coworkers were installing a wooden staircase between the first and second levels when the staircase unit became unsecured and fell approximately eleven feet through an opening between the first level and basement and struck the employee in the head. The employee died due to blunt force head trauma.",High,Transportation Incidents,"blunt force, blunt force trauma, concrete floor, falling object, head"
"At 11:45 a.m. on June 29, 2022, an employee who worked as a Millwright was installing new vents on an existing grain bin. The bin eave height is 30 feet above the ground. The employee was working with coworker who was working on another part of the structure. The employee was not wearing a harness and only a rope tied around his waist for fall protection. The other employee heard a yell and then heard the employee strike the ground. There were no direct eyewitnesses to the fall. The employee fell off the top of the grain bin about 30 feet and died from multiple injuries.",High,Falls,"abrasion, blunt force, blunt force trauma, building, construction"
"At 2:30 p.m. on August 4, 2022, an employee (Owner) was working in the attic space of a dwelling installing a replacement bathroom fan and light fixture. The employee was electrocuted and died when he contacted live wires attached to the existing bathroom fixture.",High,Electrocution,"attic, chest, construction, electric shock, electrical"
"At 8:15 a.m. on September 10, 2022, an employee was performing roofing activities on a second story roof above the garage of a single-family residential home. Duties included setting up drop cloth/tarp from the roof edge to the lower levels. The employee had stripped off the ridge cap when he fell 17 feet from the roof onto the asphalt driveway below. The employee incurred blunt force trauma to his head resulting in a fractured skull. The employee was pronounced dead the following day.",High,Falls,"anchor, asphalt, construction, defect, fall"
"At 7:30 p.m. on July 17, 2023, an employee working for a construction contractor on a commercial demolition project was hauling asbestos containing materials from the 9th floor to lower levels utilizing a freight elevator. After a period of time, the employee could not be located. Coworkers searched for the employee and eventually found him at the bottom of the freight elevator shaft. The employee died from blunt force trauma from contact with the concrete floor.",High,Electrocution,"asbestos removal, blunt force, blunt force trauma, building, commercial building"
"At 2:55 p.m. on May 31, 2022, an employee was constructing a leading edge of a roof when he miss-stepped and fell about 20 feet onto sand. Employee was taken to the hospital, where he died from his injuries on June 6, 2022.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 2:45 a.m. on August 23, 2022, an employee was working as a roofer for a roofing contractor installing a metal roof on a residential home. The employee climbed a secured ladder while carrying a 10-foot piece of metal trim. A coworker called out to the worker on the ladder causing him to turn around. At this point, the metal trim contacted a live electrical line causing him to fall approximately 18 feet to the ground. EMS transported the employee to the hospital, where he died.",High,Electrocution,"blunt force, blunt force trauma, clearance, climbing, construction"
"At 8:58 a.m. on May 28, 2022, an employee was reaching for the PVC pipe to fill up a bucket with water on the thirteenth floor of a luxury condominium under construction. The employee fell and landed on the concrete pool deck on second level. The employee suffered multiple fatal injures.",High,Other/Unspecified,"blunt force, blunt force trauma, commercial building, concrete surface, construction"
"At 10:32 a.m. on November 25, 2022, an employee was holding the tagline for a piece of structural steel with switches installed that was suspended 4 to 6 feet horizontally in the air to be placed on two steel columns. The steel was being lifted by a Caterpillar 329 excavator with a Kenco jib assembly. While the 18 by 9-foot horizontal piece of steel was suspended from the ground, the jib assembly broke away from the excavator. The employee was struck by the steel. The employee died due to blunt force trauma.",High,Struck By Object,"blunt force, blunt force trauma, construction, equipment failure, excavator"
"At 10:30 a.m. on February 17, 2023, an employee fell while he was installing some wooden blocks on the corner of the wall. The employee and coworkers were working on the construction of the new single family (accessary) dwelling unit. The employee was installing some blocks on the edge of the wall. This is included in the framing job. He was intoxicated. He got unstable and fell from the roof onto the dirt floor. The owner of the house is the builder and the unlicensed General Contractor. The sub-contractor involved in framing is also an unlicensed contractor. The employee, day laborer, was an employee of the sub-contractor and was working on the general contractor's house when the accident occurred.",High,Falls,"blocks, fall, fall from elevation, framing, installing"
"At 11:13 a.m. on May 16, 2022, an employee was installing skylights while working on the roof of a new industrial building. The employee fell an estimated 40 feet through a skylight opening and was as killed in the fall.",High,Falls,"construction, fall, fall from elevation, roof, skylight"
"At 9:00 a.m. on November 3, 2022, an employee was performing exterior framing carpentry on the roof of a new multifamily residential construction project. The employee fell 31 feet off the roof of the three story building. The employee was killed by blunt force injuries, lacerations and fractures.",High,Falls,"blunt force, blunt force trauma, carpenter, fall, fall from elevation"
"On September 9 2022, an employee was working from a scissor lift marking a ceiling when he fell. The employee died due to severe head injury from striking the concrete floor.",High,Other/Unspecified,"blunt force, blunt force trauma, brain, concrete floor, construction"
"On March 6, 2023, an employee working as a laborer for a construction contractor was screwing in a track above his head on the 7th floor ledge of a multifamily residential building. The employee fell off the ledge to the 1st floor covered garage below. The employee died from multiple fractures.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 5:45 p.m. on May 19, 2022, an employee was assisting in attaching new shingles to a roof during a roofing replacement project for a residential building. The employee fell 30 feet off the roof onto a concrete surface and was killed, sustaining fractures to multiple bones.",High,Falls,"fall, fall from elevation, fracture, repair, residential construction"
"On August 12, 2022, an employee (Owner) was working at the peak of a roof approximately 50 feet from the ground installing metal sheet roofing panels. The roof was covered with Tyvek material and was wet with heavy dew causing it to be slippery. A coworker heard a noise and turned to look just as the other employee began sliding down the roof. The employee slid down the roof into a narrow alleyway, struck the adjacent structure and then impacted with the ground. A coworker called EMS at 7:51 a.m. and they arrived at arrived at approximately 8:15 a.m. and pronounced the employee dead at the scene. The employee was not wearing any fall protection.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 10:00 a.m. on August 15, 2022, an employee was standing on the platform of a Baker's scaffold installing tracks along the wall for metal studs. The wheels on the scaffold were not locked. The employee, while standing on the platform, tried to scoot the scaffold. The employee fell off the scaffold and hit the concrete floor 6 feet below. In the fall, he brought the scaffold down on top of him. The employee incurred head/skull injuries and broken ribs and was killed.",High,Falls,"blunt force, blunt force trauma, broken, broken bone, chest"
"At 12:30 p.m. on May 2, 2023, an employee working as a carpenter on a residential construction project was walking around the entrance to an elevator shaft to go to lunch. The employee fell to the bottom of the elevator shaft. There was only one rail blocking the elevator shaft as fall protection. It is unknown if the employee fell over or under the rail. The employee fractured his skull from impact with the concrete floor below and was killed. No other objects were found at the bottom of the elevator shaft that the employee could have fallen onto.",High,Falls,"blunt force, blunt force trauma, carpenter, concrete floor, construction"
"At 4:40 p.m. on February 2, 2023, an employee was installing exterior wall zip board sheathing to the single-story house that was under construction. The employee fell from the ladder to the concrete/dirt ground surface below. The employee was transported to the hospital. The employee died on February 3, 2023 due to complications post-fall at the worksite.",High,Falls,"concrete, fall, fall from elevation, installing, ladder"
"At 2:45 p.m. on October 26, 2022, an employee and coworkers were pouring concrete for the deck of a bridge under construction when it collapsed. The employee was struck by bridge debris and was killed.",High,Struck By Object,"blunt force, blunt force trauma, bridge, bridge deck, collapse"
"At 10:00 a.m. on April 3, 2023, an employee and coworkers were manually raising a wood frame into position for residential housing. A gust of wind caused workers on one side of the frame to lose control and the wooden frame fell toward the employee, who was on the other side, in the path of the falling frame. He was struck in the head as he tried to run, and the force of the falling frame caused fatal head and face injuries.",High,Falls,"blunt force trauma, face, falling object, head, residential construction"
"On May 9, 2023, an employee working as a painter for a roofing contractor was painting the exterior of a single- family residence. The employee fell off the ladder and impacted the ground 8 feet below. The employee died of head injuries caused by blunt force trauma.",High,Falls,"construction, fall, fall from elevation, fall protection, fracture"
"At 8:00 a.m. on January 30, 2023, an employee was working as a field engineer doing checks on control lines and measurements on twelfth floor level. The employee walked from the ninth level to the third level, where he was found on the floor from a fall. The employee died from his injures.",High,Falls,"blunt force, blunt force trauma, commercial building, construction, control lines"
