Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
Stock clerk suffered seizure to the toe while other public safety with vehicle in packing.,Medium,"Seizure caused by vehicle, during other public safety, affecting the toe, (Stock clerk)","Stock Clerk, Seizure, Toe, Vehicle, Other Public Safety, Packaging",
Older suffered seizure to the toe while law enforcement with vehicle in accommodation.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Older)","Molder, Seizure, Toe, Vehicle, Law Enforcement, Accommodation",
Architect suffered seizure to the toe while therapy with vehicle in packing.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Architect)","Architect, Seizure, Toe, Vehicle, Therapy, Packaging",
Landscape suffered heart attack to the toe while serving with radiation in looking.,High,Heart Attack due to Radiation during Serving,"Landscaper, Heart Attack, Toe, Radiation, Serving, Roofing",
Manager suffered seizure to the toe while therapy with vehicle in looking.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Therapy, Roofing",
Manager suffered seizure to the toe while therapy with vehicle in looking.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Therapy, Roofing",
Manager suffered seizure to the toe while cleaning with vehicle in construction.,Medium,"Seizure caused by vehicle, during cleaning, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Cleaning, Construction",
Landscape suffered fatal injury to the abdomen while sales with ladder in packing.,High,Fatal Injury due to Ladder during Sales,"Landscaper, Fatal Injury, Abdomen, Ladder, Sales, Packaging",
Manager suffered heart attack to the toe while serving with radiation in packing.,High,Heart Attack due to Radiation during Serving,"Manager, Heart Attack, Toe, Radiation, Serving, Packaging",
Data entry clerk suffered seizure to the toe while law enforcement with machine in excavation.,Medium,"Seizure caused by machine, during law enforcement, affecting the toe, (Data entry clerk)","Data Entry Clerk, Seizure, Toe, Machine, Law Enforcement, Excavation",
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,"Seizure caused by machine, during other cleaning, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service",
Package suffered seizure to the toe while clerical with machine in food service.,Medium,"Seizure caused by machine, during clerical, affecting the toe, (Package)","Packager, Seizure, Toe, Machine, Clerical, Food Service",
Custodian suffered seizure to the toe while manufacturing with vehicle in food service.,Medium,"Seizure caused by vehicle, during manufacturing, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Manufacturing, Food Service",
Architect suffered seizure to the toe while manufacturing with vehicle in food service.,Medium,"Seizure caused by vehicle, during manufacturing, affecting the toe, (Architect)","Architect, Seizure, Toe, Vehicle, Manufacturing, Food Service",
Architect suffered seizure to the toe while supervision with vehicle in packing.,Medium,"Seizure caused by vehicle, during supervision, affecting the toe, (Architect)","Architect, Seizure, Toe, Vehicle, Supervision, Packaging",
Architect suffered seizure to the toe while sanitation with vehicle in legal services.,Medium,"Seizure caused by vehicle, during sanitation, affecting the toe, (Architect)","Architect, Seizure, Toe, Vehicle, Sanitation, Legal Services",
Records clerk suffered seizure to the toe while therapy with other vehicle in construction.,Medium,"Seizure caused by other vehicle, during therapy, affecting the toe, (Records clerk)","Records Clerk, Seizure, Toe, Other Vehicle, Therapy, Construction",
Program coordinate suffered seizure to the toe while other food with machine in food service.,Medium,"Seizure caused by machine, during other food, affecting the toe, (Program coordinate)","Program Coordinator, Seizure, Toe, Machine, Other Food, Food Service",
Older suffered seizure to the toe while education with natural disaster in healthcare.,Medium,"Seizure caused by natural disaster, during education, affecting the toe, (Older)","Molder, Seizure, Toe, Natural Disaster, Education, Healthcare",
Forklift operator suffered seizure to the toe while law enforcement with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Law Enforcement, Wholesale",
Older suffered seizure to the toe while law enforcement with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Older)","Molder, Seizure, Toe, Vehicle, Law Enforcement, Wholesale",
Machine operator suffered chemical burn to the multiple parts while clerical with forklift in food service.,Medium,Chemical Burn due to Forklift during Clerical,"Machine Operator, Chemical Burn, Multiple Parts, Forklift, Clerical, Food Service",
Machine operator suffered seizure to the toe while other office with machine in food service.,Medium,"Seizure caused by machine, during other office, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Other Office, Food Service",
Stock clerk suffered heart attack to the toe while other office with animal in retail.,High,Heart Attack due to Animal during Other Office,"Stock Clerk, Heart Attack, Toe, Animal, Other Office, Retail",
Paramedic suffered seizure to the toe while law enforcement with vehicle in miscellaneous.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Paramedic)","Paramedic, Seizure, Toe, Vehicle, Law Enforcement, Miscellaneous",
Gardener suffered stroke to the toe while education with other fatal in packing.,High,Stroke due to Other Fatal during Education,"Gardener, Stroke, Toe, Other Fatal, Education, Packaging",
Manager suffered seizure to the toe while security with vehicle in other manufacturing.,Medium,"Seizure caused by vehicle, during security, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Security, Other Manufacturing",
Psychologist suffered seizure to the toe while receiving with vehicle in public administration.,Medium,"Seizure caused by vehicle, during receiving, affecting the toe, (Psychologist)","Psychologist, Seizure, Toe, Vehicle, Receiving, Public Administration",
Manager suffered seizure to the toe while law enforcement with vehicle in packing.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Law Enforcement, Packaging",
Manager suffered seizure to the toe while customer service with vehicle in public administration.,Medium,"Seizure caused by vehicle, during customer service, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Customer Service, Public Administration",
Assembled suffered seizure to the toe while serving with vehicle in accommodation.,Medium,"Seizure caused by vehicle, during serving, affecting the toe, (Assembled)","Assembler, Seizure, Toe, Vehicle, Serving, Accommodation",
Forklift operator suffered seizure to the toe while customer service with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during customer service, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Customer Service, Wholesale",
Forklift operator suffered seizure to the toe while therapy with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Therapy, Wholesale",
Forklift operator suffered seizure to the toe while surgery with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during surgery, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Surgery, Wholesale",
Package suffered seizure to the toe while therapy with machine in food service.,Medium,"Seizure caused by machine, during therapy, affecting the toe, (Package)","Packager, Seizure, Toe, Machine, Therapy, Food Service",
Forklift operator suffered seizure to the toe while other food with machine in wholesale.,Medium,"Seizure caused by machine, during other food, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Machine, Other Food, Wholesale",
Stock clerk suffered seizure to the toe while law enforcement with vehicle in packing.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Stock clerk)","Stock Clerk, Seizure, Toe, Vehicle, Law Enforcement, Packaging",
Gardener suffered seizure to the toe while law enforcement with vehicle in packing.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Gardener)","Gardener, Seizure, Toe, Vehicle, Law Enforcement, Packaging",
Older suffered seizure to the toe while nursing with vehicle in looking.,Medium,"Seizure caused by vehicle, during nursing, affecting the toe, (Older)","Molder, Seizure, Toe, Vehicle, Nursing, Roofing",
Manager suffered seizure to the toe while nursing with vehicle in looking.,Medium,"Seizure caused by vehicle, during nursing, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Nursing, Roofing",
Mile clerk suffered seizure to the toe while manufacturing with vehicle in manufacturing.,Medium,"Seizure caused by vehicle, during manufacturing, affecting the toe, (Mile clerk)","File Clerk, Seizure, Toe, Vehicle, Manufacturing",
Machine operator suffered seizure to the toe while other office with machine in food service.,Medium,"Seizure caused by machine, during other office, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Other Office, Food Service",
Package suffered seizure to the toe while other cleaning with machine in food service.,Medium,"Seizure caused by machine, during other cleaning, affecting the toe, (Package)","Packager, Seizure, Toe, Machine, Other Cleaning, Food Service",
Machine operator suffered seizure to the toe while therapy with machine in food service.,Medium,"Seizure caused by machine, during therapy, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Therapy, Food Service",
Manager suffered seizure to the toe while plunging with vehicle in finance.,Medium,"Seizure caused by vehicle, during plunging, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Plumbing, Finance",
Landscape suffered fatal injury to the toe while education with natural disaster in packing.,High,Fatal Injury due to Natural Disaster during Education,"Landscaper, Fatal Injury, Toe, Natural Disaster, Education, Packaging",
Social worker suffered fatal injury to the toe while education with natural disaster in packing.,High,Fatal Injury due to Natural Disaster during Education,"Social Worker, Fatal Injury, Toe, Natural Disaster, Education, Packaging",
Machine operator suffered seizure to the toe while clerical with machine in retail.,Medium,"Seizure caused by machine, during clerical, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Clerical, Retail",
Machine operator suffered seizure to the toe while inspection with equipment in food service.,Medium,"Seizure caused by equipment, during inspection, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Equipment, Inspection, Food Service",
Forklift operator suffered seizure to the toe while therapy with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Therapy, Wholesale",
Manager suffered seizure to the toe while therapy with vehicle in looking.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Therapy, Roofing",
Stock clerk suffered concussion to the multiple parts while cleaning with gas in excavation.,Medium,Concussion due to Gas during Cleaning,"Stock Clerk, Concussion, Multiple Parts, Gas, Cleaning, Excavation",
Administrative assistant suffered concussion to the multiple parts while law enforcement with gas in education.,Medium,Concussion due to Gas during Law Enforcement,"Administrative Assistant, Concussion, Multiple Parts, Gas, Law Enforcement, Education",
Manager suffered concussion to the multiple parts while cleaning with gas in excavation.,Medium,Concussion due to Gas during Cleaning,"Manager, Concussion, Multiple Parts, Gas, Cleaning, Excavation",
Data entry clerk suffered concussion to the multiple parts while clerical with gas in excavation.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Excavation",
Landscape suffered concussion to the multiple parts while plunging with liquid in education.,Medium,Concussion due to Liquid during Plumbing,"Landscaper, Concussion, Multiple Parts, Liquid, Plumbing, Education",
Receiving clerk suffered seizure to the toe while law enforcement with vehicle in looking.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Receiving clerk)","Receiving Clerk, Seizure, Toe, Vehicle, Law Enforcement, Roofing",
Data entry clerk suffered concussion to the multiple parts while other education with liquid in insurance.,Medium,Concussion due to Liquid during Other Education,"Data Entry Clerk, Concussion, Multiple Parts, Liquid, Other Education, Insurance",
Landscape suffered bruise/contusion to the tarso while cooking with elevator in insurance.,Low,Bruise/Contusion due to Elevator during Cooking,"Landscaper, Bruise/Contusion, Torso, Elevator, Cooking, Insurance",
Program coordinate suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Program Coordinator, Concussion, Multiple Parts, Gas, Cleaning, Education",
Stock clerk suffered seizure to the toe while therapy with vehicle in retail.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Stock clerk)","Stock Clerk, Seizure, Toe, Vehicle, Therapy, Retail",
Medical assistant suffered seizure to the toe while therapy with vehicle in retail.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Medical assistant)","Medical Assistant, Seizure, Toe, Vehicle, Therapy, Retail",
Manager suffered seizure to the toe while planning with machine in other services.,Medium,"Seizure caused by machine, during planning, affecting the toe, (Manager)","Manager, Seizure, Toe, Machine, Planning, Other Services",
Production worker suffered concussion to the multiple parts while education with gas in looking.,Medium,Concussion due to Gas during Education,"Production Worker, Concussion, Multiple Parts, Gas, Education, Roofing",
Manager suffered seizure to the toe while data entry with machine in miscellaneous.,Medium,"Seizure caused by machine, during data entry, affecting the toe, (Manager)","Manager, Seizure, Toe, Machine, Data Entry, Miscellaneous",
Forklift operator suffered concussion to the multiple parts while other manufacturing with liquid in wholesale.,Medium,Concussion due to Liquid during Other Manufacturing,"Forklift Operator, Concussion, Multiple Parts, Liquid, Other Manufacturing, Wholesale",
Medical assistant suffered seizure to the toe while other cleaning with machine in insurance.,Medium,"Seizure caused by machine, during other cleaning, affecting the toe, (Medical assistant)","Medical Assistant, Seizure, Toe, Machine, Other Cleaning, Insurance",
Medical assistant suffered seizure to the toe while cooking with machine in telecommunication.,Medium,"Seizure caused by machine, during cooking, affecting the toe, (Medical assistant)","Medical Assistant, Seizure, Toe, Machine, Cooking, Telecommunications",
Manager suffered seizure to the toe while other food with machine in food service.,Medium,"Seizure caused by machine, during other food, affecting the toe, (Manager)","Manager, Seizure, Toe, Machine, Other Food, Food Service",
Landscape suffered heart attack to the toe while food service with animal in excavation.,High,Heart Attack due to Animal during Food Service,"Landscaper, Heart Attack, Toe, Animal, Food Service, Excavation",
Landscape suffered heart attack to the toe while food service with animal in excavation.,High,Heart Attack due to Animal during Food Service,"Landscaper, Heart Attack, Toe, Animal, Food Service, Excavation",
Landscape suffered heart attack to the toe while food service with animal in excavation.,High,Heart Attack due to Animal during Food Service,"Landscaper, Heart Attack, Toe, Animal, Food Service, Excavation",
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,"Seizure caused by machine, during other cleaning, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service",
Landscape suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Landscaper, Concussion, Multiple Parts, Gas, Cleaning, Education",
Manager suffered seizure to the toe while therapy with vehicle in assembly.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Therapy, Assembly",
Receiving clerk suffered concussion to the multiple parts while other entertainment with gas in looking.,Medium,Concussion due to Gas during Other Entertainment,"Receiving Clerk, Concussion, Multiple Parts, Gas, Other Entertainment, Roofing",
Older suffered crushing to the neck while other public safety with gas in construction.,High,Crushing due to Gas during Other Public Safety,"Molder, Crushing, Neck, Gas, Other Public Safety, Construction",
Records clerk suffered heart attack to the toe while education with animal in packing.,High,Heart Attack due to Animal during Education,"Records Clerk, Heart Attack, Toe, Animal, Education, Packaging",
Custodian suffered seizure to the toe while clerical with vehicle in food service.,Medium,"Seizure caused by vehicle, during clerical, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Clerical, Food Service",
Warehouse worker suffered seizure to the toe while serving with vehicle in packing.,Medium,"Seizure caused by vehicle, during serving, affecting the toe, (Warehouse worker)","Warehouse Worker, Seizure, Toe, Vehicle, Serving, Packaging",
Data entry clerk suffered amputation to the neck while cleaning with gas in insurance.,High,Amputation due to Gas during Cleaning,"Data Entry Clerk, Amputation, Neck, Gas, Cleaning, Insurance",
Forklift operator suffered concussion to the multiple parts while surgery with gas in wholesale.,Medium,Concussion due to Gas during Surgery,"Forklift Operator, Concussion, Multiple Parts, Gas, Surgery, Wholesale",
Forklift operator suffered asphyxia to the multiple parts while customer service with gas in wholesale.,High,Asphyxia due to Gas during Customer Service,"Forklift Operator, Asphyxia, Multiple Parts, Gas, Customer Service, Wholesale",
Groundskeeper suffered concussion to the multiple parts while customer service with gas in wholesale.,Medium,Concussion due to Gas during Customer Service,"Groundskeeper, Concussion, Multiple Parts, Gas, Customer Service, Wholesale",
Forklift operator suffered concussion to the multiple parts while customer service with gas in wholesale.,Medium,Concussion due to Gas during Customer Service,"Forklift Operator, Concussion, Multiple Parts, Gas, Customer Service, Wholesale",
Professor suffered seizure to the toe while law enforcement with vehicle in miscellaneous.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Professor)","Professor, Seizure, Toe, Vehicle, Law Enforcement, Miscellaneous",
Custodian suffered seizure to the toe while research with vehicle in legal services.,Medium,"Seizure caused by vehicle, during research, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Research, Legal Services",
Data entry clerk suffered amputation to the neck while law enforcement with gas in insurance.,High,Amputation due to Gas during Law Enforcement,"Data Entry Clerk, Amputation, Neck, Gas, Law Enforcement, Insurance",
Data entry clerk suffered no injury to the unknown while nursing with dust in insurance.,Low,No Injury due to Dust during Nursing,"Data Entry Clerk, No Injury, Unknown, Dust, Nursing, Insurance",
Program coordinate suffered concussion to the multiple parts while cooking with ground in looking.,Medium,Concussion due to Ground during Cooking,"Program Coordinator, Concussion, Multiple Parts, Ground, Cooking, Roofing",
Manager suffered seizure to the toe while unknown with vehicle in packing.,Medium,"Seizure caused by vehicle, during unknown, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Unknown, Packaging",
Administrative assistant suffered seizure to the toe while nursing with vehicle in education.,Medium,"Seizure caused by vehicle, during nursing, affecting the toe, (Administrative assistant)","Administrative Assistant, Seizure, Toe, Vehicle, Nursing, Education",
Custodian suffered seizure to the toe while therapy with vehicle in packing.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Therapy, Packaging",
Warehouse worker suffered seizure to the toe while therapy with vehicle in packing.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Warehouse worker)","Warehouse Worker, Seizure, Toe, Vehicle, Therapy, Packaging",
Firefighter suffered crushing to the shoulder while therapy with roof in insurance.,High,Crushing due to Roof during Therapy,"Firefighter, Crushing, Shoulder, Roof, Therapy, Insurance",
Receiving clerk suffered concussion to the multiple parts while data entry with gas in public administration.,Medium,Concussion due to Gas during Data Entry,"Receiving Clerk, Concussion, Multiple Parts, Gas, Data Entry, Public Administration",
Administrative assistant suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Administrative Assistant, Concussion, Multiple Parts, Gas, Cleaning, Education",
Forklift operator suffered other to the unknown while data entry with liquid in wholesale.,Low,Other due to Liquid during Data Entry,"Forklift Operator, Other, Unknown, Liquid, Data Entry, Wholesale",
Older suffered concussion to the multiple parts while office work with gas in looking.,Medium,Concussion due to Gas during Office Work,"Molder, Concussion, Multiple Parts, Gas, Office Work, Roofing",
Firefighter suffered concussion to the multiple parts while entertainment with gas in retail.,Medium,Concussion due to Gas during Entertainment,"Firefighter, Concussion, Multiple Parts, Gas, Entertainment, Retail",
Warehouse worker suffered seizure to the toe while clerical with vehicle in packing.,Medium,"Seizure caused by vehicle, during clerical, affecting the toe, (Warehouse worker)","Warehouse Worker, Seizure, Toe, Vehicle, Clerical, Packaging",
Records clerk suffered other to the chest while other manufacturing with liquid in miscellaneous.,Low,Other due to Liquid during Other Manufacturing,"Records Clerk, Other, Chest, Liquid, Other Manufacturing, Miscellaneous",
Program coordinate suffered amputation to the neck while other public safety with gas in food service.,High,Amputation due to Gas during Other Public Safety,"Program Coordinator, Amputation, Neck, Gas, Other Public Safety, Food Service",
Manager suffered concussion to the multiple parts while serving with gas in assembly.,Medium,Concussion due to Gas during Serving,"Manager, Concussion, Multiple Parts, Gas, Serving, Assembly",
Data entry clerk suffered concussion to the multiple parts while cleaning with escalator in insurance.,Medium,Concussion due to Escalator during Cleaning,"Data Entry Clerk, Concussion, Multiple Parts, Escalator, Cleaning, Insurance",
Material handle suffered concussion to the multiple parts while teaching with gas in public administration.,Medium,Concussion due to Gas during Teaching,"Material Handler, Concussion, Multiple Parts, Gas, Teaching, Public Administration",
Manager suffered seizure to the toe while cooking with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during cooking, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Cooking, Wholesale",
Older suffered concussion to the multiple parts while entertainment with gas in looking.,Medium,Concussion due to Gas during Entertainment,"Molder, Concussion, Multiple Parts, Gas, Entertainment, Roofing",
Manager suffered concussion to the multiple parts while law enforcement with gas in education.,Medium,Concussion due to Gas during Law Enforcement,"Manager, Concussion, Multiple Parts, Gas, Law Enforcement, Education",
Inventor clerk suffered concussion to the multiple parts while cleaning with liquid in real estate.,Medium,Concussion due to Liquid during Cleaning,"Inventory Clerk, Concussion, Multiple Parts, Liquid, Cleaning, Real Estate",
Package suffered seizure to the toe while clerical with machine in food service.,Medium,"Seizure caused by machine, during clerical, affecting the toe, (Package)","Packager, Seizure, Toe, Machine, Clerical, Food Service",
Mechanics suffered hearing loss to the foot while supervision with floor in education.,Low,Hearing Loss due to Floor during Supervision,"Mechanic, Hearing Loss, Foot, Floor, Supervision, Education",
Manager suffered seizure to the toe while surgery with vehicle in excavation.,Medium,"Seizure caused by vehicle, during surgery, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Surgery, Excavation",
Data entry clerk suffered seizure to the toe while surgery with vehicle in excavation.,Medium,"Seizure caused by vehicle, during surgery, affecting the toe, (Data entry clerk)","Data Entry Clerk, Seizure, Toe, Vehicle, Surgery, Excavation",
Data entry clerk suffered seizure to the toe while surgery with vehicle in excavation.,Medium,"Seizure caused by vehicle, during surgery, affecting the toe, (Data entry clerk)","Data Entry Clerk, Seizure, Toe, Vehicle, Surgery, Excavation",
Manager suffered concussion to the multiple parts while education with gas in accommodation.,Medium,Concussion due to Gas during Education,"Manager, Concussion, Multiple Parts, Gas, Education, Accommodation",
Forklift operator suffered seizure to the toe while nursing with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during nursing, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Nursing, Wholesale",
Older suffered seizure to the toe while clerical with vehicle in construction.,Medium,"Seizure caused by vehicle, during clerical, affecting the toe, (Older)","Molder, Seizure, Toe, Vehicle, Clerical, Construction",
Inventor clerk suffered concussion to the multiple parts while shipping with gas in real estate.,Medium,Concussion due to Gas during Shipping,"Inventory Clerk, Concussion, Multiple Parts, Gas, Shipping, Real Estate",
Forklift operator suffered poisoning to the multiple parts while serving with other chemical in wholesale.,Medium,Poisoning due to Other Chemical during Serving,"Forklift Operator, Poisoning, Multiple Parts, Other Chemical, Serving, Wholesale",
Office clerk suffered sprain/strain to the tarso while data entry with gas in tourism.,Medium,Sprain/Strain due to Gas during Data Entry,"Office Clerk, Sprain/Strain, Torso, Gas, Data Entry, Tourism",
Landscape suffered internal injury to the arm while cleaning with gas in excavation.,High,Internal Injury due to Gas during Cleaning,"Landscaper, Internal Injury, Arm, Gas, Cleaning, Excavation",
Forklift operator suffered shock to the multiple parts while customer service with gas in wholesale.,Medium,Shock due to Gas during Customer Service,"Forklift Operator, Shock, Multiple Parts, Gas, Customer Service, Wholesale",
Medical assistant suffered sprain/strain to the neck while law enforcement with gas in miscellaneous.,Medium,Sprain/Strain due to Gas during Law Enforcement,"Medical Assistant, Sprain/Strain, Neck, Gas, Law Enforcement, Miscellaneous",
Assembled suffered internal injury to the arm while serving with gas in accommodation.,High,Internal Injury due to Gas during Serving,"Assembler, Internal Injury, Arm, Gas, Serving, Accommodation",
Administrative assistant suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Administrative Assistant, Concussion, Multiple Parts, Gas, Cleaning, Education",
Older suffered amputation to the neck while other food with liquid in assembly.,High,Amputation due to Liquid during Other Food,"Molder, Amputation, Neck, Liquid, Other Food, Assembly",
Landscape suffered amputation to the neck while cleaning with gas in utilities.,High,Amputation due to Gas during Cleaning,"Landscaper, Amputation, Neck, Gas, Cleaning, Utilities",
Receiving clerk suffered internal injury to the arm while surgery with gas in public administration.,High,Internal Injury due to Gas during Surgery,"Receiving Clerk, Internal Injury, Arm, Gas, Surgery, Public Administration",
Older suffered amputation to the neck while office work with gas in construction.,High,Amputation due to Gas during Office Work,"Molder, Amputation, Neck, Gas, Office Work, Construction",
Manager suffered seizure to the toe while operating equipment with vehicle in other manufacturing.,Medium,"Seizure caused by vehicle, during operating equipment, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Operating Equipment, Other Manufacturing",
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,"Seizure caused by machine, during other cleaning, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service",
Data entry clerk suffered concussion to the multiple parts while clerical with gas in insurance.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Insurance",
Data entry clerk suffered concussion to the multiple parts while clerical with gas in insurance.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Insurance",
Data entry clerk suffered concussion to the multiple parts while clerical with fire in insurance.,Medium,Concussion due to Fire during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Fire, Clerical, Insurance",
Mile clerk suffered seizure to the toe while assembly with vehicle in finance.,Medium,"Seizure caused by vehicle, during assembly, affecting the toe, (Mile clerk)","File Clerk, Seizure, Toe, Vehicle, Assembly, Finance",
Custodian suffered seizure to the toe while performance with vehicle in packing.,Medium,"Seizure caused by vehicle, during performance, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Performance, Packaging",
Forklift operator suffered amputation to the neck while customer service with heat in wholesale.,High,Amputation due to Heat during Customer Service,"Forklift Operator, Amputation, Neck, Heat, Customer Service, Wholesale",
