Obs,TYPE,RECORDID,STATE,AGE,GENDER,RACE,FB,OCCUP,NOI,POB,SOI,EOE,ACTIVITY,LOCATION,INDUSTRY,ES,TEIB,SIZE,TotTime,NOWOIS,NOWIIE,OWNER,WSE,EWAOH,SI,WSP,PJT,AFS,Training,INJURY_DATE,INJURY_MONTH,INJURY_YEAR,Fall_Feet,PFAS_Rec,Region,fall,R11,R12,R13,R14,R15,R16,R19,R21,R22,R23,R24,R25,R29,R31,R32,R33,R34,R35,R39,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R59,R999,PPE,PFASR,Equipment,Organizational,Violations,Occupation_Mapped,Nature of Injury_Mapped,Part of Body_Mapped,Source of Injury_Mapped,Work Activity_Mapped,Industry Type_Mapped
13,I,1985-13,AZ,.,1,7,3,558,94,220,6271,41,592,47,1623,1,.,.,.,.,0,6,1,3,3,2,3,3,1,25,3,1985,.,.,West,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Landscaper,Other,Torso,Radiation,Security,Packaging
14,I,1985-14,AZ,.,1,7,3,585,93,5,4415,313,599,98,1623,1,.,.,.,3,0,6,3,3,3,3,3,3,2,14,3,1985,.,.,West,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,Stock Clerk,Seizure,Toe,Vehicle,Other Public Safety,Packaging
15,I,1985-15,PA,.,1,7,3,567,93,5,4415,313,594,47,1741,1,.,.,.,18,1,6,2,3,3,3,3,3,1,11,4,1985,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Molder,Seizure,Toe,Vehicle,Law Enforcement,Accommodation
16,I,1985-18,NC,.,1,7,3,527,93,5,4415,313,530,47,1623,1,.,.,.,.,0,6,2,3,3,3,3,3,1,30,4,1985,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,Architect,Seizure,Toe,Vehicle,Therapy,Packaging
17,I,1985-20,PA,33,1,7,3,558,91,5,6271,41,632,47,1542,1,.,.,.,.,0,6,2,3,3,2,3,3,1,3,5,1985,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Heart Attack,Toe,Radiation,Serving,Roofing
18,I,1985-2901,TN,.,1,7,3,869,93,5,4415,313,530,47,1542,1,74.00,350,.,30,1,6,2,2,3,1,3,3,2,26,6,1985,.,.,South,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Therapy,Roofing
19,I,1985-2902,TN,.,1,7,3,869,93,5,4415,313,530,47,1542,1,74.00,350,.,30,1,6,2,2,3,1,3,3,2,26,6,1985,.,.,South,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Therapy,Roofing
20,I,1985-32,KY,20,1,7,3,869,93,5,4415,313,633,14,1521,1,.,7,.,.,0,6,2,2,3,2,1,2,1,8,7,1985,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Cleaning,Construction
21,I,1985-33,CA,.,1,3,1,558,959,2461,391,3411,363,98,1623,1,3.50,45,.,4,1,6,2,1,1,1,3,3,1,12,7,1985,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Landscaper,Fatal Injury,Abdomen,Ladder,Sales,Packaging
22,I,1985-45,OH,62,1,7,3,869,91,5,6271,41,632,47,1623,1,1.00,13,.,7,0,6,2,2,3,2,3,3,1,8,8,1985,.,.,Midwest,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Heart Attack,Toe,Radiation,Serving,Packaging
23,I,1985-47,IN,18,1,7,3,597,93,5,4411,311,594,49,1541,1,24.00,37,45.75,5,0,6,3,1,3,1,2,2,2,4,9,1985,.,.,Midwest,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Data Entry Clerk,Seizure,Toe,Machine,Law Enforcement,Excavation
24,I,1986-02,NC,.,1,7,3,575,93,5,4411,312,249,47,1731,1,.,110,.,30,0,6,2,3,3,2,2,2,1,19,9,1985,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,Machine Operator,Seizure,Toe,Machine,Other Cleaning,Food Service
25,I,1986-08,NC,18,1,7,3,576,93,5,4411,312,312,47,1731,1,27.00,43,91.50,2,0,6,2,3,3,2,1,2,1,28,10,1985,.,.,South,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,Packager,Seizure,Toe,Machine,Clerical,Food Service
26,I,1986-1101,KY,.,1,7,3,555,93,5,4415,313,211,19,1731,1,40.00,1300,.,3,0,6,2,3,3,1,3,3,1,18,11,1985,.,.,South,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Custodian,Seizure,Toe,Vehicle,Manufacturing,Food Service
27,I,1986-1102,KY,.,1,7,3,527,93,5,4415,313,211,19,1731,1,40.00,1300,.,3,0,6,2,3,3,1,3,3,1,18,11,1985,.,.,South,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Architect,Seizure,Toe,Vehicle,Manufacturing,Food Service
28,I,1986-18,NC,.,1,7,3,527,93,5,4415,313,321,.,1623,1,.,250,.,5,4,6,3,3,3,1,3,3,1,5,2,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Architect,Seizure,Toe,Vehicle,Supervision,Packaging
29,I,1986-20,NC,23,1,7,3,527,93,5,4415,312,242,98,4911,1,.,21000,91.50,2,0,6,2,3,3,1,1,3,1,21,3,1986,.,.,South,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,Architect,Seizure,Toe,Vehicle,Sanitation,Legal Services
30,I,1986-28,IN,24,1,7,3,599,93,5,4419,311,530,10,1521,1,17.00,6,.,4,0,6,2,3,3,2,1,2,1,27,5,1986,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Records Clerk,Seizure,Toe,Other Vehicle,Therapy,Construction
31,I,1986-33,SC,26,1,7,3,866,93,5,4411,311,634,47,1731,1,26.00,230,.,5,0,6,2,1,3,1,2,3,1,2,6,1986,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Program Coordinator,Seizure,Toe,Machine,Other Food,Food Service
32,I,1986-36,KY,22,1,7,3,567,93,5,7224,311,611,14,1751,1,.,.,.,.,0,6,2,3,3,2,3,3,2,10,7,1986,.,.,South,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Molder,Seizure,Toe,Natural Disaster,Education,Healthcare
33,I,1986-3901,TN,.,1,7,3,579,93,5,4415,313,594,79,1721,1,.,5,213.50,4,0,6,2,1,3,2,3,3,2,17,6,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Law Enforcement,Wholesale
34,I,1986-3902,TN,.,1,7,3,567,93,5,4415,313,594,79,1721,1,.,5,8.00,4,0,6,2,1,3,2,3,3,2,17,6,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Molder,Seizure,Toe,Vehicle,Law Enforcement,Wholesale
35,I,1986-44,NC,.,1,7,3,575,53,8,4417,511,312,75,1731,1,.,130,4.00,3,2,6,2,1,3,2,1,2,1,27,7,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Machine Operator,Chemical Burn,Multiple Parts,Forklift,Clerical,Food Service
36,I,1986-47,NC,.,1,7,3,575,93,5,4411,311,330,98,1731,2,.,.,.,3,0,6,2,1,3,2,3,3,1,23,8,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Machine Operator,Seizure,Toe,Machine,Other Office,Food Service
37,I,1986-54,GA,.,1,7,3,585,91,5,6443,384,330,47,1711,2,.,3,.,3,0,6,2,2,3,2,3,3,1,15,9,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Stock Clerk,Heart Attack,Toe,Animal,Other Office,Retail
38,I,1987-04,TN,.,1,7,3,654,93,5,4415,313,594,92,1799,1,.,.,.,5,1,6,2,3,3,1,3,2,1,10,9,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,Paramedic,Seizure,Toe,Vehicle,Law Enforcement,Miscellaneous
39,I,1987-05,CA,.,1,7,3,557,92,5,9621,381,611,47,1623,2,.,13,.,.,0,6,2,2,3,3,2,3,1,14,10,1986,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,Gardener,Stroke,Toe,Other Fatal,Education,Packaging
40,I,1987-09,MD,.,1,7,3,869,93,5,4415,314,592,47,1629,1,.,.,.,.,0,6,2,3,3,1,3,3,1,22,10,1986,.,.,South,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,Manager,Seizure,Toe,Vehicle,Security,Other Manufacturing
41,I,1987-10,MD,.,1,7,3,856,93,5,4415,313,219,14,1771,1,.,30,.,1,0,6,2,1,3,2,3,3,1,27,10,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Psychologist,Seizure,Toe,Vehicle,Receiving,Public Administration
42,I,1987-13,TN,.,1,7,3,869,93,5,4415,313,594,47,1623,1,.,.,.,4,0,6,3,3,3,3,1,3,1,23,10,1986,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Law Enforcement,Packaging
43,I,1987-15,KY,19,1,7,3,869,93,5,4415,313,362,26,1771,1,.,7,.,7,0,6,2,3,3,2,3,3,1,27,8,1986,.,.,South,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Customer Service,Public Administration
44,I,1987-19,MD,20,1,7,3,563,93,5,4415,313,632,47,1741,1,.,50,.,7,0,6,2,3,3,2,3,3,1,24,11,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Assembler,Seizure,Toe,Vehicle,Serving,Accommodation
45,I,1987-2801,OH,.,1,7,3,579,93,5,4415,313,362,93,1721,1,.,4,.,4,0,6,2,3,3,2,3,3,1,17,11,1986,.,.,Midwest,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Customer Service,Wholesale
46,I,1987-2802,OH,.,1,7,3,579,93,5,4415,313,530,93,1721,1,.,4,.,4,0,6,2,3,3,2,3,3,1,17,11,1986,.,.,Midwest,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Therapy,Wholesale
47,I,1987-32,GA,27,1,7,3,579,93,5,4415,313,520,12,1721,1,.,7,.,1,0,6,2,3,3,2,3,2,1,21,7,1986,.,.,South,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Surgery,Wholesale
48,I,1987-34,GA,19,1,7,3,576,93,5,4411,312,530,75,1731,1,.,106,1.00,1,0,6,2,1,3,1,1,3,1,17,3,1986,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Packager,Seizure,Toe,Machine,Therapy,Food Service
49,I,1987-40,VA,27,1,7,3,579,93,5,4411,312,634,48,1721,1,.,.,.,5,0,6,2,3,2,1,1,3,1,17,4,1987,.,.,South,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,Forklift Operator,Seizure,Toe,Machine,Other Food,Wholesale
50,I,1987-41,NC,56,1,7,3,585,93,5,4415,313,594,65,1623,1,.,400,.,.,0,6,3,3,3,1,1,3,1,23,4,1987,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Seizure,Toe,Vehicle,Law Enforcement,Packaging
51,I,1987-44,MD,.,1,7,3,557,93,5,4415,313,594,65,1623,1,.,44,.,3,1,6,2,1,3,2,3,3,1,29,4,1987,.,.,South,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,Gardener,Seizure,Toe,Vehicle,Law Enforcement,Packaging
52,I,1987-4801,SC,.,1,7,3,567,93,5,4415,313,510,47,1542,1,.,9,.,7,5,6,2,3,3,2,1,2,1,5,6,1987,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Molder,Seizure,Toe,Vehicle,Nursing,Roofing
53,I,1987-4802,SC,.,1,7,3,869,93,5,4415,313,510,47,1542,1,.,9,.,7,5,6,2,3,3,2,1,2,1,5,6,1987,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Nursing,Roofing
54,I,1987-52,VA,49,1,7,3,598,93,5,4415,313,211,65,1611,1,.,153,.,1,0,6,2,1,1,1,1,3,2,13,6,1987,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,File Clerk,Seizure,Toe,Vehicle,Manufacturing,Manufacturing
55,I,1987-55,NC,33,1,7,3,575,93,5,4411,311,330,10,1731,1,.,20,.,2,0,6,2,3,3,1,3,3,1,23,6,1987,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Machine Operator,Seizure,Toe,Machine,Other Office,Food Service
56,I,1987-58,MD,19,1,7,3,576,93,5,4411,312,249,94,1731,1,.,3,.,2,0,6,2,1,3,2,1,2,1,18,6,1987,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Packager,Seizure,Toe,Machine,Other Cleaning,Food Service
57,I,1987-63,MD,30,1,7,3,575,93,5,4411,312,530,71,1731,1,.,40,.,3,0,6,2,3,3,3,3,2,1,29,7,1987,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Machine Operator,Seizure,Toe,Machine,Therapy,Food Service
58,I,1987-66,VA,.,1,7,3,869,93,5,4415,313,133,.,1781,3,4.00,4,1461.00,3,0,6,2,1,2,2,3,3,1,10,8,1987,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Plumbing,Finance
59,I,1987-6701,IN,36,1,7,3,558,959,5,963,384,611,47,1623,3,.,50,6209.25,4,0,6,2,1,3,1,2,2,1,21,7,1987,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Landscaper,Fatal Injury,Toe,Natural Disaster,Education,Packaging
60,I,1987-6702,IN,50,1,7,3,859,959,5,963,384,611,47,1623,3,.,50,7670.25,4,0,6,2,1,3,1,2,2,1,21,7,1987,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Social Worker,Fatal Injury,Toe,Natural Disaster,Education,Packaging
61,I,1987-68,IN,.,1,7,3,575,93,5,4411,312,312,10,1711,1,.,8,.,3,0,6,2,3,3,2,1,2,1,29,7,1987,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Machine Operator,Seizure,Toe,Machine,Clerical,Retail
62,I,1987-69,TN,.,1,7,3,575,93,5,4412,312,250,48,1731,1,.,5,.,2,0,6,2,3,3,2,2,2,1,20,8,1987,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Machine Operator,Seizure,Toe,Equipment,Inspection,Food Service
63,I,1988-04,NC,28,1,7,3,579,93,5,4415,313,530,89,1721,1,.,7,.,4,1,6,2,3,3,2,2,2,1,1,9,1987,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Therapy,Wholesale
64,I,1988-05,NC,18,1,7,3,869,93,5,4415,313,530,75,1542,1,.,4,.,4,2,6,2,3,3,2,3,3,1,24,9,1987,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Therapy,Roofing
65,I,1988-06,MD,24,1,7,3,585,80,8,6221,1153,633,47,1541,1,.,50,183.00,.,0,6,2,3,3,1,3,3,1,30,10,1987,22,1,South,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Concussion,Multiple Parts,Gas,Cleaning,Excavation
66,I,1988-07,MD,41,1,7,3,595,80,8,6221,1151,594,47,1761,1,4.00,45,730.50,6,0,6,2,3,3,1,3,3,2,16,11,1987,22,1,South,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Administrative Assistant,Concussion,Multiple Parts,Gas,Law Enforcement,Education
67,I,1988-08,OH,26,1,7,3,869,80,8,6221,1152,633,47,1541,1,6.00,26,61.00,8,0,6,2,3,3,1,1,3,2,7,12,1987,27,1,Midwest,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,Manager,Concussion,Multiple Parts,Gas,Cleaning,Excavation
68,I,1988-09,OH,56,1,7,3,597,80,8,6221,117,312,47,1541,1,41.00,70,.,3,1,6,1,1,1,1,1,3,1,16,12,1987,47,1,Midwest,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Data Entry Clerk,Concussion,Multiple Parts,Gas,Clerical,Excavation
69,I,1988-12,OH,29,1,7,3,558,80,8,624,1154,133,47,1761,2,.50,4,213.50,3,0,6,2,1,3,2,3,3,2,23,2,1988,52,0,Midwest,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Concussion,Multiple Parts,Liquid,Plumbing,Education
