Scenario,Risk_Level,Cause_of_Accident,Keywords
Forklift operator suffered concussion to the multiple parts while other manufacturing with liquid in wholesale.,Medium,Concussion due to Liquid during Other Manufacturing,"Forklift Operator, Concussion, Multiple Parts, Liquid, Other Manufacturing, Wholesale"
Medical assistant suffered seizure to the toe while other cleaning with machine in insurance.,Medium,Seizure due to Machine during Other Cleaning,"Medical Assistant, Seizure, Toe, Machine, Other Cleaning, Insurance"
Medical assistant suffered seizure to the toe while cooking with machine in telecommunications.,Medium,Seizure due to Machine during Cooking,"Medical Assistant, Seizure, Toe, Machine, Cooking, Telecommunications"
Manager suffered seizure to the toe while other food with machine in food service.,Medium,Seizure due to Machine during Other Food,"Manager, Seizure, Toe, Machine, Other Food, Food Service"
Landscaper suffered heart attack to the toe while food service with animal in excavation.,High,Heart Attack due to Animal during Food Service,"Landscaper, Heart Attack, Toe, Animal, Food Service, Excavation"
Landscaper suffered heart attack to the toe while food service with animal in excavation.,High,Heart Attack due to Animal during Food Service,"Landscaper, Heart Attack, Toe, Animal, Food Service, Excavation"
Landscaper suffered heart attack to the toe while food service with animal in excavation.,High,Heart Attack due to Animal during Food Service,"Landscaper, Heart Attack, Toe, Animal, Food Service, Excavation"
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service"
Landscaper suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Landscaper, Concussion, Multiple Parts, Gas, Cleaning, Education"
Manager suffered seizure to the toe while therapy with vehicle in assembly.,Medium,Seizure due to Vehicle during Therapy,"Manager, Seizure, Toe, Vehicle, Therapy, Assembly"
Receiving clerk suffered concussion to the multiple parts while other entertainment with gas in roofing.,Medium,Concussion due to Gas during Other Entertainment,"Receiving Clerk, Concussion, Multiple Parts, Gas, Other Entertainment, Roofing"
Molder suffered crushing to the neck while other public safety with gas in construction.,High,Crushing due to Gas during Other Public Safety,"Molder, Crushing, Neck, Gas, Other Public Safety, Construction"
Records clerk suffered heart attack to the toe while education with animal in packaging.,High,Heart Attack due to Animal during Education,"Records Clerk, Heart Attack, Toe, Animal, Education, Packaging"
Custodian suffered seizure to the toe while clerical with vehicle in food service.,Medium,Seizure due to Vehicle during Clerical,"Custodian, Seizure, Toe, Vehicle, Clerical, Food Service"
Warehouse worker suffered seizure to the toe while serving with vehicle in packaging.,Medium,Seizure due to Vehicle during Serving,"Warehouse Worker, Seizure, Toe, Vehicle, Serving, Packaging"
Data entry clerk suffered amputation to the neck while cleaning with gas in insurance.,High,Amputation due to Gas during Cleaning,"Data Entry Clerk, Amputation, Neck, Gas, Cleaning, Insurance"
Forklift operator suffered concussion to the multiple parts while surgery with gas in wholesale.,Medium,Concussion due to Gas during Surgery,"Forklift Operator, Concussion, Multiple Parts, Gas, Surgery, Wholesale"
Forklift operator suffered asphyxia to the multiple parts while customer service with gas in wholesale.,High,Asphyxia due to Gas during Customer Service,"Forklift Operator, Asphyxia, Multiple Parts, Gas, Customer Service, Wholesale"
Groundskeeper suffered concussion to the multiple parts while customer service with gas in wholesale.,Medium,Concussion due to Gas during Customer Service,"Groundskeeper, Concussion, Multiple Parts, Gas, Customer Service, Wholesale"
Forklift operator suffered concussion to the multiple parts while customer service with gas in wholesale.,Medium,Concussion due to Gas during Customer Service,"Forklift Operator, Concussion, Multiple Parts, Gas, Customer Service, Wholesale"
Professor suffered seizure to the toe while law enforcement with vehicle in miscellaneous.,Medium,Seizure due to Vehicle during Law Enforcement,"Professor, Seizure, Toe, Vehicle, Law Enforcement, Miscellaneous"
Custodian suffered seizure to the toe while research with vehicle in legal services.,Medium,Seizure due to Vehicle during Research,"Custodian, Seizure, Toe, Vehicle, Research, Legal Services"
Data entry clerk suffered amputation to the neck while law enforcement with gas in insurance.,High,Amputation due to Gas during Law Enforcement,"Data Entry Clerk, Amputation, Neck, Gas, Law Enforcement, Insurance"
Data entry clerk suffered no injury to the unknown while nursing with dust in insurance.,Low,No Injury due to Dust during Nursing,"Data Entry Clerk, No Injury, Unknown, Dust, Nursing, Insurance"
Program coordinator suffered concussion to the multiple parts while cooking with ground in roofing.,Medium,Concussion due to Ground during Cooking,"Program Coordinator, Concussion, Multiple Parts, Ground, Cooking, Roofing"
Manager suffered seizure to the toe while unknown with vehicle in packaging.,Medium,Seizure due to Vehicle during Unknown,"Manager, Seizure, Toe, Vehicle, Unknown, Packaging"
Administrative assistant suffered seizure to the toe while nursing with vehicle in education.,Medium,Seizure due to Vehicle during Nursing,"Administrative Assistant, Seizure, Toe, Vehicle, Nursing, Education"
Custodian suffered seizure to the toe while therapy with vehicle in packaging.,Medium,Seizure due to Vehicle during Therapy,"Custodian, Seizure, Toe, Vehicle, Therapy, Packaging"
Warehouse worker suffered seizure to the toe while therapy with vehicle in packaging.,Medium,Seizure due to Vehicle during Therapy,"Warehouse Worker, Seizure, Toe, Vehicle, Therapy, Packaging"
Firefighter suffered crushing to the shoulder while therapy with roof in insurance.,High,Crushing due to Roof during Therapy,"Firefighter, Crushing, Shoulder, Roof, Therapy, Insurance"
Receiving clerk suffered concussion to the multiple parts while data entry with gas in public administration.,Medium,Concussion due to Gas during Data Entry,"Receiving Clerk, Concussion, Multiple Parts, Gas, Data Entry, Public Administration"
Administrative assistant suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Administrative Assistant, Concussion, Multiple Parts, Gas, Cleaning, Education"
Forklift operator suffered other to the unknown while data entry with liquid in wholesale.,Low,Other due to Liquid during Data Entry,"Forklift Operator, Other, Unknown, Liquid, Data Entry, Wholesale"
Molder suffered concussion to the multiple parts while office work with gas in roofing.,Medium,Concussion due to Gas during Office Work,"Molder, Concussion, Multiple Parts, Gas, Office Work, Roofing"
Firefighter suffered concussion to the multiple parts while entertainment with gas in retail.,Medium,Concussion due to Gas during Entertainment,"Firefighter, Concussion, Multiple Parts, Gas, Entertainment, Retail"
Warehouse worker suffered seizure to the toe while clerical with vehicle in packaging.,Medium,Seizure due to Vehicle during Clerical,"Warehouse Worker, Seizure, Toe, Vehicle, Clerical, Packaging"
Records clerk suffered other to the chest while other manufacturing with liquid in miscellaneous.,Low,Other due to Liquid during Other Manufacturing,"Records Clerk, Other, Chest, Liquid, Other Manufacturing, Miscellaneous"
Program coordinator suffered amputation to the neck while other public safety with gas in food service.,High,Amputation due to Gas during Other Public Safety,"Program Coordinator, Amputation, Neck, Gas, Other Public Safety, Food Service"
Manager suffered concussion to the multiple parts while serving with gas in assembly.,Medium,Concussion due to Gas during Serving,"Manager, Concussion, Multiple Parts, Gas, Serving, Assembly"
Data entry clerk suffered concussion to the multiple parts while cleaning with escalator in insurance.,Medium,Concussion due to Escalator during Cleaning,"Data Entry Clerk, Concussion, Multiple Parts, Escalator, Cleaning, Insurance"
Material handler suffered concussion to the multiple parts while teaching with gas in public administration.,Medium,Concussion due to Gas during Teaching,"Material Handler, Concussion, Multiple Parts, Gas, Teaching, Public Administration"
Manager suffered seizure to the toe while cooking with vehicle in wholesale.,Medium,Seizure due to Vehicle during Cooking,"Manager, Seizure, Toe, Vehicle, Cooking, Wholesale"
Molder suffered concussion to the multiple parts while entertainment with gas in roofing.,Medium,Concussion due to Gas during Entertainment,"Molder, Concussion, Multiple Parts, Gas, Entertainment, Roofing"
Manager suffered concussion to the multiple parts while law enforcement with gas in education.,Medium,Concussion due to Gas during Law Enforcement,"Manager, Concussion, Multiple Parts, Gas, Law Enforcement, Education"
Inventory clerk suffered concussion to the multiple parts while cleaning with liquid in real estate.,Medium,Concussion due to Liquid during Cleaning,"Inventory Clerk, Concussion, Multiple Parts, Liquid, Cleaning, Real Estate"
Packager suffered seizure to the toe while clerical with machine in food service.,Medium,Seizure due to Machine during Clerical,"Packager, Seizure, Toe, Machine, Clerical, Food Service"
Mechanic suffered hearing loss to the foot while supervision with floor in education.,Low,Hearing Loss due to Floor during Supervision,"Mechanic, Hearing Loss, Foot, Floor, Supervision, Education"
Manager suffered seizure to the toe while surgery with vehicle in excavation.,Medium,Seizure due to Vehicle during Surgery,"Manager, Seizure, Toe, Vehicle, Surgery, Excavation"
Data entry clerk suffered seizure to the toe while surgery with vehicle in excavation.,Medium,Seizure due to Vehicle during Surgery,"Data Entry Clerk, Seizure, Toe, Vehicle, Surgery, Excavation"
Data entry clerk suffered seizure to the toe while surgery with vehicle in excavation.,Medium,Seizure due to Vehicle during Surgery,"Data Entry Clerk, Seizure, Toe, Vehicle, Surgery, Excavation"
Manager suffered concussion to the multiple parts while education with gas in accommodation.,Medium,Concussion due to Gas during Education,"Manager, Concussion, Multiple Parts, Gas, Education, Accommodation"
Forklift operator suffered seizure to the toe while nursing with vehicle in wholesale.,Medium,Seizure due to Vehicle during Nursing,"Forklift Operator, Seizure, Toe, Vehicle, Nursing, Wholesale"
Molder suffered seizure to the toe while clerical with vehicle in construction.,Medium,Seizure due to Vehicle during Clerical,"Molder, Seizure, Toe, Vehicle, Clerical, Construction"
Inventory clerk suffered concussion to the multiple parts while shipping with gas in real estate.,Medium,Concussion due to Gas during Shipping,"Inventory Clerk, Concussion, Multiple Parts, Gas, Shipping, Real Estate"
Forklift operator suffered poisoning to the multiple parts while serving with other chemical in wholesale.,Medium,Poisoning due to Other Chemical during Serving,"Forklift Operator, Poisoning, Multiple Parts, Other Chemical, Serving, Wholesale"
Office clerk suffered sprain/strain to the torso while data entry with gas in tourism.,Medium,Sprain/Strain due to Gas during Data Entry,"Office Clerk, Sprain/Strain, Torso, Gas, Data Entry, Tourism"
Landscaper suffered internal injury to the arm while cleaning with gas in excavation.,High,Internal Injury due to Gas during Cleaning,"Landscaper, Internal Injury, Arm, Gas, Cleaning, Excavation"
Forklift operator suffered shock to the multiple parts while customer service with gas in wholesale.,Medium,Shock due to Gas during Customer Service,"Forklift Operator, Shock, Multiple Parts, Gas, Customer Service, Wholesale"
Medical assistant suffered sprain/strain to the neck while law enforcement with gas in miscellaneous.,Medium,Sprain/Strain due to Gas during Law Enforcement,"Medical Assistant, Sprain/Strain, Neck, Gas, Law Enforcement, Miscellaneous"
Assembler suffered internal injury to the arm while serving with gas in accommodation.,High,Internal Injury due to Gas during Serving,"Assembler, Internal Injury, Arm, Gas, Serving, Accommodation"
Administrative assistant suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Administrative Assistant, Concussion, Multiple Parts, Gas, Cleaning, Education"
Molder suffered amputation to the neck while other food with liquid in assembly.,High,Amputation due to Liquid during Other Food,"Molder, Amputation, Neck, Liquid, Other Food, Assembly"
Landscaper suffered amputation to the neck while cleaning with gas in utilities.,High,Amputation due to Gas during Cleaning,"Landscaper, Amputation, Neck, Gas, Cleaning, Utilities"
Receiving clerk suffered internal injury to the arm while surgery with gas in public administration.,High,Internal Injury due to Gas during Surgery,"Receiving Clerk, Internal Injury, Arm, Gas, Surgery, Public Administration"
Molder suffered amputation to the neck while office work with gas in construction.,High,Amputation due to Gas during Office Work,"Molder, Amputation, Neck, Gas, Office Work, Construction"
Manager suffered seizure to the toe while operating equipment with vehicle in other manufacturing.,Medium,Seizure due to Vehicle during Operating Equipment,"Manager, Seizure, Toe, Vehicle, Operating Equipment, Other Manufacturing"
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service"
Data entry clerk suffered concussion to the multiple parts while clerical with gas in insurance.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Insurance"
Data entry clerk suffered concussion to the multiple parts while clerical with gas in insurance.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Insurance"
Data entry clerk suffered concussion to the multiple parts while clerical with fire in insurance.,Medium,Concussion due to Fire during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Fire, Clerical, Insurance"
File clerk suffered seizure to the toe while assembly with vehicle in finance.,Medium,Seizure due to Vehicle during Assembly,"File Clerk, Seizure, Toe, Vehicle, Assembly, Finance"
Custodian suffered seizure to the toe while performance with vehicle in packaging.,Medium,Seizure due to Vehicle during Performance,"Custodian, Seizure, Toe, Vehicle, Performance, Packaging"
Forklift operator suffered amputation to the neck while customer service with heat in wholesale.,High,Amputation due to Heat during Customer Service,"Forklift Operator, Amputation, Neck, Heat, Customer Service, Wholesale"
Administrative assistant suffered other to the chest while supervision with radiation in education.,Low,Other due to Radiation during Supervision,"Administrative Assistant, Other, Chest, Radiation, Supervision, Education"
Administrative assistant suffered concussion to the multiple parts while clerical with liquid in education.,Medium,Concussion due to Liquid during Clerical,"Administrative Assistant, Concussion, Multiple Parts, Liquid, Clerical, Education"
Manager suffered concussion to the multiple parts while performance with staircase in packaging.,Medium,Concussion due to Staircase during Performance,"Manager, Concussion, Multiple Parts, Staircase, Performance, Packaging"
Medical assistant suffered poisoning to the multiple parts while other food with liquid in insurance.,Medium,Poisoning due to Liquid during Other Food,"Medical Assistant, Poisoning, Multiple Parts, Liquid, Other Food, Insurance"
Stock clerk suffered poisoning to the multiple parts while law enforcement with fall in other manufacturing.,Medium,Poisoning due to Fall during Law Enforcement,"Stock Clerk, Poisoning, Multiple Parts, Fall, Law Enforcement, Other Manufacturing"
Machine operator suffered seizure to the toe while clerical with machine in food service.,Medium,Seizure due to Machine during Clerical,"Machine Operator, Seizure, Toe, Machine, Clerical, Food Service"
Police officer suffered concussion to the multiple parts while unknown with fume in other manufacturing.,Medium,Concussion due to Fume during Unknown,"Police Officer, Concussion, Multiple Parts, Fume, Unknown, Other Manufacturing"
Administrative assistant suffered concussion to the multiple parts while clerical with gas in education.,Medium,Concussion due to Gas during Clerical,"Administrative Assistant, Concussion, Multiple Parts, Gas, Clerical, Education"
Office clerk suffered seizure to the toe while therapy with vehicle in construction.,Medium,Seizure due to Vehicle during Therapy,"Office Clerk, Seizure, Toe, Vehicle, Therapy, Construction"
Manager suffered concussion to the multiple parts while other food with liquid in miscellaneous.,Medium,Concussion due to Liquid during Other Food,"Manager, Concussion, Multiple Parts, Liquid, Other Food, Miscellaneous"
Landscaper suffered poisoning to the multiple parts while cleaning with gas in education.,Medium,Poisoning due to Gas during Cleaning,"Landscaper, Poisoning, Multiple Parts, Gas, Cleaning, Education"
Program coordinator suffered other to the torso while cleaning with gas in miscellaneous.,Low,Other due to Gas during Cleaning,"Program Coordinator, Other, Torso, Gas, Cleaning, Miscellaneous"
